Ax	Ay	Gx	Gy
0,118689	0,002863	-0,004725	0,021928
0,118655	0,002841	-0,005274	0,021960
0,118625	0,002822	-0,005568	0,021681
0,118599	0,002728	-0,006364	0,021638
0,118622	0,002647	-0,006726	0,021258
0,118642	0,002577	-0,007166	0,020948
0,118659	0,002517	-0,007438	0,020860
0,118674	0,002465	-0,007872	0,020206
0,118620	0,002437	-0,007994	0,019767
0,118572	0,002414	-0,008316	0,019315
0,118531	0,002394	-0,009118	0,019052
0,118496	0,002376	-0,009107	0,018824
0,118401	0,002323	-0,009893	0,018012
0,118318	0,002277	-0,010662	0,017437
0,118247	0,002237	-0,011074	0,016651
0,118185	0,002202	-0,011502	0,015954
0,118111	0,002169	-0,012143	0,015315
0,118047	0,002139	-0,012734	0,014763
0,117992	0,002114	-0,012774	0,014304
0,117945	0,002093	-0,013225	0,013907
0,117886	0,002019	-0,013542	0,013202
0,117835	0,001955	-0,013617	0,012449
0,117791	0,001899	-0,013935	0,011653
0,117753	0,001852	-0,014372	0,011074
0,117703	0,001745	-0,014841	0,010302
0,117660	0,001653	-0,015607	0,009328
0,117623	0,001574	-0,015926	0,008540
0,117591	0,001505	-0,015895	0,008021
0,117498	0,001433	-0,016898	0,007646
0,117417	0,001371	-0,017150	0,007231
0,117348	0,001317	-0,017169	0,006420
0,117288	0,001271	-0,017023	0,005756
0,117116	0,001164	-0,017204	0,004802
0,116968	0,001072	-0,017433	0,003870
0,116839	0,000992	-0,017558	0,002792
0,116729	0,000923	-0,017522	0,002006
0,116596	0,000799	-0,017201	0,001633
0,116481	0,000692	-0,016454	0,000805
0,116382	0,000599	-0,016098	0,000036
0,116296	0,000519	-0,015193	-0,000467
0,116210	0,000438	-0,014393	-0,000938
0,116137	0,000368	-0,013666	-0,001959
0,116073	0,000308	-0,013128	-0,002715
0,116018	0,000256	-0,012590	-0,002989
0,115970	0,000206	-0,012451	-0,003262
0,115986	0,000200	-0,012656	-0,004058
0,115999	0,000195	-0,013050	-0,004565
0,116011	0,000190	-0,013283	-0,004479
0,116021	0,000187	-0,013140	-0,004351
0,116028	0,000223	-0,013161	-0,004601
0,116033	0,000254	-0,012655	-0,004258
0,116038	0,000281	-0,012146	-0,004159
0,116042	0,000304	-0,011452	-0,004707
0,116140	0,000365	-0,010473	-0,004801
0,116224	0,000418	-0,008760	-0,005732
0,116297	0,000464	-0,007043	-0,005831
0,116360	0,000504	-0,005633	-0,006043
0,116480	0,000534	-0,004233	-0,006715
0,116583	0,000560	-0,002986	-0,006861
0,116672	0,000583	-0,002361	-0,007097
0,116749	0,000602	-0,000881	-0,007589
0,116874	0,000657	-0,000126	-0,008376
0,116982	0,000705	0,001159	-0,007990
0,117075	0,000746	0,001565	-0,008253
0,117155	0,000782	0,001174	-0,007757
0,117240	0,000746	0,001542	-0,007165
0,117313	0,000715	0,001932	-0,006708
0,117376	0,000689	0,002902	-0,006549
0,117431	0,000666	0,003432	-0,006049
0,117548	0,000692	0,004289	-0,006449
0,117648	0,000715	0,005137	-0,006902
0,117735	0,000735	0,006052	-0,006554
0,117810	0,000752	0,007185	-0,007120
0,117948	0,000823	0,008183	-0,007555
0,118067	0,000885	0,009334	-0,007804
0,118170	0,000938	0,010076	-0,007749
0,118259	0,000984	0,010537	-0,007683
0,118365	0,001069	0,010989	-0,007391
0,118456	0,001143	0,011380	-0,007409
0,118535	0,001206	0,011899	-0,007136
0,118603	0,001261	0,012347	-0,006846
0,118661	0,001252	0,012987	-0,006342
0,118750	0,001243	0,013939	-0,006160
0,118828	0,001236	0,015104	-0,006201
0,118894	0,001230	0,016853	-0,006128
0,118952	0,001238	0,018653	-0,005758
0,119084	0,001134	0,020064	-0,005275
0,119197	0,001044	0,021610	-0,005111
0,119295	0,000966	0,023632	-0,004861
0,119380	0,000899	0,025868	-0,005331
0,119654	0,000791	0,027800	-0,005214
0,119891	0,000699	0,029759	-0,005004
0,120095	0,000619	0,031742	-0,004804
0,120272	0,000550	0,033672	-0,005102
0,120650	0,000433	0,035865	-0,004654
0,120977	0,000332	0,037416	-0,004122
0,121259	0,000245	0,039245	-0,004042
0,121503	0,000170	0,040735	-0,003358
0,121873	0,000053	0,041788	-0,003382
0,122192	-0,000048	0,043096	-0,003077
0,122469	-0,000135	0,044063	-0,002597
0,122707	-0,000211	0,046345	-0,001784
0,123037	-0,000274	0,047776	-0,001515
0,123322	-0,000328	0,049590	-0,000813
0,123569	-0,000374	0,050634	-0,000188
0,123782	-0,000415	0,052548	-0,000046
0,124202	-0,000441	0,054420	0,000059
0,124565	-0,000463	0,055441	0,000493
0,124878	-0,000483	0,056721	0,000760
0,125149	-0,000499	0,058008	0,000629
0,125560	-0,000509	0,058686	0,000860
0,125915	-0,000518	0,059363	0,000607
0,126221	-0,000525	0,059749	0,000515
0,126486	-0,000531	0,059703	0,000580
0,126885	-0,000541	0,059718	0,001016
0,127229	-0,000549	0,060128	0,000958
0,127526	-0,000556	0,060428	0,001108
0,127783	-0,000563	0,060344	0,001418
0,128208	-0,000525	0,060254	0,001794
0,128575	-0,000492	0,060356	0,001957
0,128892	-0,000464	0,059884	0,002404
0,129166	-0,000440	0,059603	0,002773
0,129403	-0,000372	0,059812	0,003201
0,129719	-0,000313	0,059305	0,004076
0,129992	-0,000262	0,059012	0,004779
0,130228	-0,000218	0,058343	0,006091
0,130432	-0,000180	0,057584	0,006736
0,130614	-0,000130	0,056693	0,007240
0,130771	-0,000087	0,055435	0,007748
0,130908	-0,000050	0,054384	0,008259
0,131025	-0,000018	0,053277	0,008629
0,131121	0,000043	0,051958	0,009599
0,131204	0,000096	0,050746	0,010076
0,131276	0,000142	0,049898	0,010633
0,131338	0,000182	0,048966	0,011204
0,131385	0,000309	0,048124	0,011879
0,131426	0,000419	0,046764	0,011992
0,131461	0,000514	0,045407	0,012198
0,131492	0,000596	0,044362	0,012431
0,131586	0,000756	0,044054	0,012469
0,131668	0,000895	0,043879	0,012430
0,131738	0,001014	0,043457	0,012052
0,131799	0,001118	0,042477	0,012377
0,131950	0,001233	0,042028	0,012386
0,132080	0,001332	0,041351	0,012991
0,132193	0,001417	0,040946	0,013387
0,132290	0,001491	0,040597	0,013404
0,132473	0,001573	0,040222	0,013093
0,132630	0,001644	0,039682	0,012897
0,132766	0,001706	0,038997	0,013522
0,132884	0,001759	0,038388	0,014316
0,133031	0,001875	0,037193	0,014388
0,133158	0,001976	0,036250	0,015173
0,133268	0,002063	0,034603	0,015218
0,133362	0,002138	0,033777	0,015493
0,133461	0,002178	0,032936	0,015079
0,133547	0,002212	0,031740	0,015047
0,133621	0,002241	0,031085	0,015146
0,133685	0,002267	0,030574	0,014852
0,133782	0,002310	0,029337	0,014489
0,133866	0,002347	0,028574	0,014013
0,133939	0,002380	0,027970	0,013764
0,134002	0,002408	0,027592	0,013223
0,134057	0,002438	0,027103	0,012883
0,134199	0,002465	0,027078	0,012155
0,134322	0,002488	0,027689	0,011869
0,134428	0,002507	0,028597	0,011188
0,134520	0,002524	0,029164	0,011268
0,134638	0,002532	0,029095	0,011121
0,134739	0,002538	0,029631	0,010758
0,134827	0,002543	0,029841	0,010987
0,134903	0,002548	0,030059	0,010770
0,135062	0,002495	0,030193	0,010509
0,135199	0,002449	0,030273	0,010302
0,135318	0,002410	0,030685	0,010358
0,135420	0,002375	0,030590	0,010244
0,135599	0,002287	0,030959	0,010507
0,135753	0,002211	0,031043	0,010173
0,135887	0,002145	0,031658	0,009958
0,136002	0,002088	0,032353	0,009572
0,136232	0,001945	0,032971	0,009384
0,136430	0,001821	0,034228	0,009058
0,136602	0,001715	0,035297	0,009139
0,136750	0,001622	0,036564	0,009045
0,137051	0,001552	0,038508	0,008477
0,137310	0,001491	0,039791	0,008292
0,137535	0,001438	0,041569	0,008151
0,137729	0,001393	0,044190	0,007776
0,138107	0,001357	0,046509	0,007705
0,138433	0,001326	0,048477	0,007879
0,138716	0,001299	0,051046	0,007559
0,138959	0,001276	0,053628	0,007662
0,139464	0,001311	0,056401	0,007570
0,139901	0,001341	0,058780	0,006985
0,140278	0,001367	0,061180	0,006515
0,140603	0,001390	0,063958	0,006073
0,141243	0,001358	0,066504	0,006016
0,141796	0,001331	0,069048	0,005732
0,142274	0,001308	0,071590	0,006209
0,142687	0,001288	0,074077	0,006044
0,143045	0,001275	0,076533	0,005358
0,143705	0,001264	0,079161	0,005272
0,144276	0,001254	0,081632	0,005866
0,144769	0,001246	0,084310	0,006036
0,145195	0,001241	0,087455	0,006491
0,145979	0,001255	0,090951	0,007155
0,146657	0,001267	0,094967	0,007710
0,147242	0,001278	0,099106	0,008010
0,147748	0,001287	0,103425	0,008431
0,148651	0,001426	0,107230	0,008470
0,149431	0,001546	0,111693	0,008919
0,150105	0,001650	0,115496	0,009416
0,150688	0,001740	0,119180	0,009430
0,151631	0,001910	0,122148	0,010526
0,152446	0,002057	0,124568	0,011203
0,153150	0,002184	0,126605	0,011082
0,153758	0,002294	0,128600	0,010635
0,154754	0,002471	0,129909	0,009904
0,155615	0,002624	0,131203	0,010285
